,channels,has_transaction,user_id,day,month,year,visitStartTime
13578,Facebook,True,210,27,11,2020,2020-11-27
13579,Direct,True,110,11,10,2020,2020-10-11
13580,Facebook,False,579,7,2,2020,2020-02-07
13581,Google Search,True,315,3,5,2020,2020-05-03
13582,Instagram,True,315,28,7,2020,2020-07-28
13583,Direct,False,67,14,7,2020,2020-07-14
13584,Google Display,True,591,5,5,2020,2020-05-05
13585,Google Search,False,133,8,8,2020,2020-08-08
13586,Google Display,True,256,24,3,2020,2020-03-24
13587,Google Search,False,318,19,1,2020,2020-01-19
13588,Organic,False,428,13,7,2020,2020-07-13
13589,Facebook,True,8,10,7,2020,2020-07-10
13590,Organic,False,396,7,6,2020,2020-06-07
13591,Email Marketing,False,63,21,4,2020,2020-04-21
13592,Organic,False,686,26,12,2020,2020-12-26
13593,Organic,True,478,23,4,2020,2020-04-23
13594,Direct,False,101,19,4,2020,2020-04-19
13595,Youtube,False,293,9,11,2020,2020-11-09
13596,Direct,True,406,25,8,2020,2020-08-25
13597,Google Search,False,360,27,4,2020,2020-04-27
13598,Organic,True,699,28,2,2020,2020-02-28
13599,Organic,False,557,5,6,2020,2020-06-05
13600,Organic,True,82,24,3,2020,2020-03-24
13601,Organic,True,500,3,9,2020,2020-09-03
13602,Organic,True,216,12,8,2020,2020-08-12
13603,Organic,True,653,1,8,2020,2020-08-01
13604,Google Search,False,438,28,9,2020,2020-09-28
13605,Direct,False,214,11,4,2020,2020-04-11
13606,Youtube,False,599,15,1,2020,2020-01-15
13607,Organic,True,169,25,8,2020,2020-08-25
13608,Google Display,False,358,11,1,2020,2020-01-11
13609,Facebook,True,43,25,2,2020,2020-02-25
13610,Organic,False,369,5,11,2020,2020-11-05
13611,Facebook,False,684,24,11,2020,2020-11-24
13612,Facebook,False,668,20,9,2020,2020-09-20
13613,Organic,False,3,10,2,2020,2020-02-10
13614,Organic,True,639,3,7,2020,2020-07-03
13615,Google Search,False,222,18,6,2020,2020-06-18
13616,Organic,False,487,24,10,2020,2020-10-24
13617,Instagram,True,498,10,4,2020,2020-04-10
13618,Organic,False,438,23,4,2020,2020-04-23
13619,Facebook,False,481,22,5,2020,2020-05-22
13620,Google Search,False,421,11,8,2020,2020-08-11
13621,Facebook,False,591,14,1,2020,2020-01-14
13622,Instagram,False,279,1,12,2020,2020-12-01
13623,Instagram,True,173,2,9,2020,2020-09-02
13624,Google Search,True,277,28,1,2020,2020-01-28
13625,Google Search,True,360,17,11,2020,2020-11-17
13626,Youtube,True,428,3,4,2020,2020-04-03
13627,Direct,False,297,23,4,2020,2020-04-23
13628,Organic,True,148,17,5,2020,2020-05-17
13629,Facebook,False,219,25,3,2020,2020-03-25
13630,Facebook,False,644,12,3,2020,2020-03-12
13631,Organic,True,383,28,4,2020,2020-04-28
13632,Google Search,True,555,7,6,2020,2020-06-07
13633,Organic,True,192,16,9,2020,2020-09-16
13634,Facebook,False,433,8,7,2020,2020-07-08
13635,Email Marketing,False,626,8,3,2020,2020-03-08
13636,Organic,True,633,20,4,2020,2020-04-20
13637,Youtube,False,338,11,3,2020,2020-03-11
13638,Google Display,False,120,3,6,2020,2020-06-03
13639,Google Search,False,413,16,6,2020,2020-06-16
13640,Organic,True,210,8,4,2020,2020-04-08
13641,Direct,False,251,2,6,2020,2020-06-02
13642,Organic,True,639,28,11,2020,2020-11-28
13643,Google Search,False,90,10,5,2020,2020-05-10
13644,Email Marketing,False,369,18,6,2020,2020-06-18
13645,Direct,True,194,19,12,2020,2020-12-19
13646,Google Search,True,613,14,6,2020,2020-06-14
13647,Facebook,False,59,1,11,2020,2020-11-01
13648,Google Search,False,331,1,8,2020,2020-08-01
13649,Instagram,True,62,1,10,2020,2020-10-01
13650,Instagram,True,231,24,4,2020,2020-04-24
13651,Organic,False,676,9,4,2020,2020-04-09
13652,Facebook,True,386,13,6,2020,2020-06-13
13653,Organic,False,637,10,6,2020,2020-06-10
13654,Organic,True,266,24,12,2020,2020-12-24
13655,Google Search,False,605,6,8,2020,2020-08-06
13656,Google Search,True,103,27,10,2020,2020-10-27
13657,Organic,False,365,23,12,2020,2020-12-23
13658,Facebook,False,141,4,8,2020,2020-08-04
13659,Facebook,True,529,3,2,2020,2020-02-03
13660,Google Search,False,421,1,8,2020,2020-08-01
13661,Google Display,True,39,19,3,2020,2020-03-19
13662,Facebook,True,51,11,9,2020,2020-09-11
13663,Organic,False,51,22,6,2020,2020-06-22
13664,Google Search,False,8,17,2,2020,2020-02-17
13665,Direct,False,238,28,6,2020,2020-06-28
13666,Facebook,True,337,4,8,2020,2020-08-04
13667,Organic,True,466,19,7,2020,2020-07-19
13668,Organic,False,9,3,8,2020,2020-08-03
13669,Youtube,True,226,8,1,2020,2020-01-08
13670,Organic,True,662,20,12,2020,2020-12-20
13671,Organic,False,457,5,4,2020,2020-04-05
13672,Google Search,True,487,3,4,2020,2020-04-03
13673,Organic,False,617,2,7,2020,2020-07-02
13674,Organic,True,497,16,2,2020,2020-02-16
13675,Organic,False,37,2,3,2020,2020-03-02
13676,Email Marketing,False,18,17,3,2020,2020-03-17
13677,Facebook,False,386,24,1,2020,2020-01-24
13678,Google Display,False,691,10,11,2020,2020-11-10
13679,Google Search,False,43,18,9,2020,2020-09-18
13680,Organic,True,259,11,3,2020,2020-03-11
13681,Organic,False,95,20,11,2020,2020-11-20
13682,Email Marketing,False,340,27,8,2020,2020-08-27
13683,Organic,False,471,24,4,2020,2020-04-24
13684,Facebook,False,116,21,8,2020,2020-08-21
13685,Organic,False,513,19,11,2020,2020-11-19
13686,Google Search,False,634,19,2,2020,2020-02-19
13687,Facebook,True,261,14,6,2020,2020-06-14
13688,Google Search,False,299,10,8,2020,2020-08-10
13689,Google Search,False,416,4,10,2020,2020-10-04
13690,Facebook,True,43,11,2,2020,2020-02-11
13691,Organic,False,310,23,5,2020,2020-05-23
13692,Organic,False,531,4,9,2020,2020-09-04
13693,Email Marketing,False,42,8,10,2020,2020-10-08
13694,Organic,False,440,25,2,2020,2020-02-25
13695,Facebook,True,213,8,10,2020,2020-10-08
13696,Direct,False,300,15,10,2020,2020-10-15
13697,Facebook,False,179,28,10,2020,2020-10-28
13698,Youtube,True,162,10,4,2020,2020-04-10
13699,Organic,True,545,8,3,2020,2020-03-08
13700,Email Marketing,False,327,15,2,2020,2020-02-15
13701,Google Search,False,576,18,10,2020,2020-10-18
13702,Organic,False,487,27,6,2020,2020-06-27
13703,Email Marketing,False,297,1,7,2020,2020-07-01
13704,Youtube,True,562,4,8,2020,2020-08-04
13705,Google Search,True,238,1,12,2020,2020-12-01
13706,Facebook,False,329,1,2,2020,2020-02-01
13707,Organic,False,347,24,2,2020,2020-02-24
13708,Organic,True,443,2,6,2020,2020-06-02
13709,Organic,True,594,2,5,2020,2020-05-02
13710,Google Display,False,53,18,11,2020,2020-11-18
13711,Google Search,True,672,19,2,2020,2020-02-19
13712,Email Marketing,False,591,15,9,2020,2020-09-15
13713,Direct,False,351,26,5,2020,2020-05-26
13714,Direct,False,621,18,6,2020,2020-06-18
13715,Direct,True,40,14,11,2020,2020-11-14
13716,Google Display,True,296,11,11,2020,2020-11-11
13717,Facebook,True,105,21,1,2020,2020-01-21
13718,Facebook,False,611,17,8,2020,2020-08-17
13719,Email Marketing,False,574,26,5,2020,2020-05-26
13720,Direct,True,223,17,7,2020,2020-07-17
13721,Facebook,True,534,19,1,2020,2020-01-19
13722,Google Display,True,590,11,7,2020,2020-07-11
13723,Google Search,True,502,10,9,2020,2020-09-10
13724,Direct,False,343,24,10,2020,2020-10-24
13725,Organic,True,199,21,5,2020,2020-05-21
13726,Facebook,False,374,27,3,2020,2020-03-27
13727,Organic,True,412,19,10,2020,2020-10-19
13728,Email Marketing,False,116,6,6,2020,2020-06-06
13729,Google Search,False,691,17,9,2020,2020-09-17
13730,Organic,False,211,3,10,2020,2020-10-03
13731,Youtube,True,511,12,4,2020,2020-04-12
13732,Email Marketing,True,44,26,7,2020,2020-07-26
13733,Organic,True,119,11,2,2020,2020-02-11
13734,Organic,False,241,11,1,2020,2020-01-11
13735,Facebook,True,426,15,7,2020,2020-07-15
13736,Youtube,False,372,14,3,2020,2020-03-14
13737,Direct,False,495,4,8,2020,2020-08-04
13738,Organic,False,63,7,2,2020,2020-02-07
13739,Email Marketing,False,190,27,2,2020,2020-02-27
13740,Email Marketing,True,698,19,12,2020,2020-12-19
13741,Google Search,False,383,17,12,2020,2020-12-17
13742,Instagram,False,644,15,1,2020,2020-01-15
13743,Email Marketing,False,111,13,12,2020,2020-12-13
13744,Facebook,True,198,16,6,2020,2020-06-16
13745,Direct,False,299,6,11,2020,2020-11-06
13746,Google Search,False,621,21,5,2020,2020-05-21
13747,Organic,False,204,25,7,2020,2020-07-25
13748,Direct,True,571,24,1,2020,2020-01-24
13749,Organic,False,315,24,9,2020,2020-09-24
13750,Organic,True,45,19,4,2020,2020-04-19
13751,Google Search,True,380,1,9,2020,2020-09-01
13752,Email Marketing,True,100,10,6,2020,2020-06-10
13753,Google Search,True,569,9,3,2020,2020-03-09
13754,Organic,True,4,3,2,2020,2020-02-03
13755,Organic,False,154,14,3,2020,2020-03-14
13756,Google Search,True,687,27,1,2020,2020-01-27
13757,Organic,True,98,2,6,2020,2020-06-02
13758,Organic,False,533,5,2,2020,2020-02-05
13759,Facebook,True,51,2,3,2020,2020-03-02
13760,Direct,True,173,19,3,2020,2020-03-19
13761,Facebook,True,630,2,6,2020,2020-06-02
13762,Youtube,True,555,21,10,2020,2020-10-21
13763,Direct,True,237,13,6,2020,2020-06-13
13764,Google Search,False,671,3,4,2020,2020-04-03
13765,Facebook,False,157,21,12,2020,2020-12-21
13766,Facebook,False,570,28,1,2020,2020-01-28
13767,Google Search,False,128,20,12,2020,2020-12-20
13768,Instagram,True,76,21,1,2020,2020-01-21
13769,Organic,False,322,26,4,2020,2020-04-26
13770,Google Search,True,195,20,9,2020,2020-09-20
13771,Google Search,True,100,24,10,2020,2020-10-24
13772,Google Search,False,440,7,7,2020,2020-07-07
13773,Google Display,False,652,2,4,2020,2020-04-02
13774,Facebook,False,554,23,4,2020,2020-04-23
13775,Facebook,False,289,13,9,2020,2020-09-13
13776,Organic,True,418,26,6,2020,2020-06-26
13777,Organic,True,50,19,9,2020,2020-09-19
13778,Google Display,True,147,26,9,2020,2020-09-26
13779,Google Display,False,556,8,4,2020,2020-04-08
13780,Organic,False,18,19,10,2020,2020-10-19
13781,Organic,False,336,21,1,2020,2020-01-21
13782,Google Search,False,45,18,10,2020,2020-10-18
13783,Email Marketing,False,95,14,4,2020,2020-04-14
13784,Email Marketing,False,338,14,9,2020,2020-09-14
13785,Facebook,False,55,24,5,2020,2020-05-24
13786,Facebook,True,617,3,2,2020,2020-02-03
13787,Organic,False,438,17,1,2020,2020-01-17
13788,Organic,True,160,13,6,2020,2020-06-13
13789,Email Marketing,True,177,7,10,2020,2020-10-07
13790,Direct,True,372,8,4,2020,2020-04-08
13791,Instagram,False,582,9,6,2020,2020-06-09
13792,Organic,False,280,14,5,2020,2020-05-14
13793,Organic,False,393,3,12,2020,2020-12-03
13794,Organic,False,322,10,1,2020,2020-01-10
13795,Youtube,False,679,8,1,2020,2020-01-08
13796,Google Search,True,306,8,6,2020,2020-06-08
13797,Instagram,True,104,13,3,2020,2020-03-13
13798,Organic,False,177,15,5,2020,2020-05-15
13799,Organic,False,16,22,3,2020,2020-03-22
13800,Organic,False,660,8,3,2020,2020-03-08
13801,Organic,False,399,8,1,2020,2020-01-08
13802,Google Search,False,138,27,7,2020,2020-07-27
13803,Facebook,False,574,20,5,2020,2020-05-20
13804,Organic,True,609,19,12,2020,2020-12-19
13805,Instagram,False,35,11,8,2020,2020-08-11
13806,Google Search,False,546,20,12,2020,2020-12-20
13807,Organic,False,194,3,9,2020,2020-09-03
13808,Google Search,True,59,1,7,2020,2020-07-01
13809,Google Search,True,248,16,1,2020,2020-01-16
13810,Email Marketing,False,324,16,12,2020,2020-12-16
13811,Facebook,False,626,5,8,2020,2020-08-05
13812,Google Search,False,51,15,4,2020,2020-04-15
13813,Direct,False,641,23,4,2020,2020-04-23
13814,Facebook,False,44,23,3,2020,2020-03-23
13815,Facebook,False,398,10,12,2020,2020-12-10
13816,Direct,False,82,7,10,2020,2020-10-07
13817,Google Display,True,486,15,5,2020,2020-05-15
13818,Email Marketing,False,528,25,7,2020,2020-07-25
13819,Google Display,False,678,9,12,2020,2020-12-09
13820,Organic,False,177,4,7,2020,2020-07-04
13821,Organic,True,524,23,9,2020,2020-09-23
13822,Organic,False,596,26,11,2020,2020-11-26
13823,Organic,False,277,1,6,2020,2020-06-01
13824,Facebook,True,630,12,2,2020,2020-02-12
13825,Google Search,False,575,28,2,2020,2020-02-28
13826,Email Marketing,True,175,24,6,2020,2020-06-24
13827,Email Marketing,False,306,12,11,2020,2020-11-12
13828,Instagram,False,13,25,5,2020,2020-05-25
13829,Instagram,True,105,22,1,2020,2020-01-22
13830,Direct,False,215,1,7,2020,2020-07-01
13831,Instagram,False,130,12,8,2020,2020-08-12
13832,Facebook,True,30,7,7,2020,2020-07-07
13833,Organic,False,437,4,1,2020,2020-01-04
13834,Youtube,False,96,22,3,2020,2020-03-22
13835,Organic,True,620,26,8,2020,2020-08-26
13836,Facebook,True,110,4,8,2020,2020-08-04
13837,Direct,False,427,18,10,2020,2020-10-18
13838,Facebook,False,352,5,7,2020,2020-07-05
13839,Direct,False,691,6,2,2020,2020-02-06
13840,Google Display,False,667,21,12,2020,2020-12-21
13841,Google Search,True,362,15,4,2020,2020-04-15
13842,Facebook,False,213,23,2,2020,2020-02-23
13843,Organic,False,669,8,4,2020,2020-04-08
13844,Organic,False,598,4,10,2020,2020-10-04
13845,Organic,False,296,23,6,2020,2020-06-23
13846,Google Search,True,643,2,1,2020,2020-01-02
13847,Facebook,False,396,28,4,2020,2020-04-28
13848,Email Marketing,True,381,17,2,2020,2020-02-17
13849,Organic,False,541,1,8,2020,2020-08-01
13850,Facebook,False,43,28,4,2020,2020-04-28
13851,Organic,False,445,20,3,2020,2020-03-20
13852,Direct,False,210,28,4,2020,2020-04-28
13853,Email Marketing,False,281,5,7,2020,2020-07-05
13854,Direct,False,487,22,2,2020,2020-02-22
13855,Organic,True,164,11,1,2020,2020-01-11
13856,Facebook,True,634,24,8,2020,2020-08-24
13857,Google Search,True,572,25,3,2020,2020-03-25
13858,Google Search,False,458,17,3,2020,2020-03-17
13859,Google Search,True,310,14,2,2020,2020-02-14
13860,Google Search,False,321,12,4,2020,2020-04-12
13861,Google Search,False,608,5,12,2020,2020-12-05
13862,Google Search,False,204,4,7,2020,2020-07-04
13863,Facebook,True,240,24,10,2020,2020-10-24
13864,Google Display,False,657,23,1,2020,2020-01-23
13865,Organic,True,355,2,1,2020,2020-01-02
13866,Facebook,False,459,3,12,2020,2020-12-03
13867,Google Search,True,52,15,8,2020,2020-08-15
13868,Google Display,True,668,27,3,2020,2020-03-27
13869,Email Marketing,True,553,4,2,2020,2020-02-04
13870,Organic,False,47,26,4,2020,2020-04-26
13871,Email Marketing,True,207,6,11,2020,2020-11-06
13872,Direct,False,342,11,7,2020,2020-07-11
13873,Organic,True,113,24,8,2020,2020-08-24
13874,Email Marketing,True,556,13,2,2020,2020-02-13
13875,Instagram,True,489,11,10,2020,2020-10-11
13876,Facebook,True,172,21,6,2020,2020-06-21
13877,Youtube,True,113,8,5,2020,2020-05-08
13878,Google Search,False,239,14,10,2020,2020-10-14
13879,Instagram,False,89,27,1,2020,2020-01-27
13880,Google Search,True,539,4,2,2020,2020-02-04
13881,Facebook,True,271,19,11,2020,2020-11-19
13882,Organic,True,148,18,10,2020,2020-10-18
13883,Facebook,True,446,20,12,2020,2020-12-20
13884,Facebook,True,620,11,7,2020,2020-07-11
13885,Google Display,False,571,23,9,2020,2020-09-23
13886,Organic,False,411,28,3,2020,2020-03-28
13887,Organic,True,601,5,7,2020,2020-07-05
13888,Google Display,False,582,23,8,2020,2020-08-23
13889,Google Search,True,209,23,3,2020,2020-03-23
13890,Organic,False,692,11,2,2020,2020-02-11
13891,Facebook,False,403,17,8,2020,2020-08-17
13892,Youtube,False,405,17,5,2020,2020-05-17
13893,Google Search,True,78,20,11,2020,2020-11-20
13894,Organic,True,267,4,6,2020,2020-06-04
13895,Email Marketing,False,35,11,10,2020,2020-10-11
13896,Facebook,True,381,13,10,2020,2020-10-13
13897,Google Display,True,41,19,2,2020,2020-02-19
13898,Facebook,False,229,21,5,2020,2020-05-21
13899,Google Search,False,5,3,12,2020,2020-12-03
13900,Organic,False,15,8,8,2020,2020-08-08
13901,Direct,True,86,11,3,2020,2020-03-11
13902,Facebook,True,200,7,7,2020,2020-07-07
13903,Youtube,True,86,17,7,2020,2020-07-17
13904,Organic,False,674,10,12,2020,2020-12-10
13905,Direct,False,441,25,11,2020,2020-11-25
13906,Email Marketing,False,524,21,5,2020,2020-05-21
13907,Organic,False,214,12,7,2020,2020-07-12
13908,Email Marketing,False,249,25,10,2020,2020-10-25
13909,Facebook,True,359,9,1,2020,2020-01-09
13910,Organic,False,286,13,7,2020,2020-07-13
13911,Youtube,False,452,23,3,2020,2020-03-23
13912,Instagram,True,74,2,3,2020,2020-03-02
13913,Facebook,True,383,28,3,2020,2020-03-28
13914,Organic,False,272,9,4,2020,2020-04-09
13915,Google Search,True,489,25,10,2020,2020-10-25
13916,Facebook,False,7,5,1,2020,2020-01-05
13917,Direct,False,489,3,2,2020,2020-02-03
13918,Google Search,True,532,18,11,2020,2020-11-18
13919,Direct,True,564,25,12,2020,2020-12-25
13920,Organic,True,617,9,1,2020,2020-01-09
13921,Organic,False,62,26,8,2020,2020-08-26
13922,Organic,False,479,7,12,2020,2020-12-07
13923,Organic,True,463,8,11,2020,2020-11-08
13924,Organic,True,397,19,7,2020,2020-07-19
13925,Facebook,False,9,21,8,2020,2020-08-21
13926,Instagram,False,528,11,1,2020,2020-01-11
13927,Youtube,False,570,21,5,2020,2020-05-21
13928,Organic,False,400,9,6,2020,2020-06-09
13929,Google Search,True,355,5,2,2020,2020-02-05
13930,Instagram,True,102,27,5,2020,2020-05-27
13931,Organic,True,585,20,1,2020,2020-01-20
13932,Organic,True,234,23,12,2020,2020-12-23
13933,Facebook,False,501,16,11,2020,2020-11-16
13934,Facebook,False,195,15,7,2020,2020-07-15
13935,Google Search,True,580,26,2,2020,2020-02-26
13936,Google Search,False,326,20,10,2020,2020-10-20
13937,Google Search,False,565,25,12,2020,2020-12-25
13938,Google Search,False,130,16,8,2020,2020-08-16
13939,Google Search,False,668,21,2,2020,2020-02-21
13940,Google Search,True,265,6,9,2020,2020-09-06
13941,Organic,True,515,13,9,2020,2020-09-13
13942,Direct,False,652,1,12,2020,2020-12-01
13943,Direct,True,208,28,9,2020,2020-09-28
13944,Organic,True,271,19,5,2020,2020-05-19
13945,Youtube,False,396,12,6,2020,2020-06-12
13946,Google Display,False,652,16,12,2020,2020-12-16
13947,Email Marketing,True,311,13,5,2020,2020-05-13
13948,Google Search,False,151,2,3,2020,2020-03-02
13949,Organic,False,28,8,12,2020,2020-12-08
13950,Facebook,True,444,2,8,2020,2020-08-02
13951,Facebook,False,513,24,12,2020,2020-12-24
13952,Google Search,True,304,25,8,2020,2020-08-25
13953,Google Search,True,102,26,11,2020,2020-11-26
13954,Organic,False,500,23,5,2020,2020-05-23
13955,Facebook,False,81,21,7,2020,2020-07-21
13956,Instagram,True,614,12,2,2020,2020-02-12
13957,Organic,False,495,26,12,2020,2020-12-26
13958,Organic,False,145,9,5,2020,2020-05-09
13959,Google Search,True,156,18,8,2020,2020-08-18
13960,Instagram,False,463,28,1,2020,2020-01-28
13961,Facebook,False,371,6,1,2020,2020-01-06
13962,Organic,False,546,21,6,2020,2020-06-21
13963,Email Marketing,False,79,28,2,2020,2020-02-28
13964,Instagram,False,199,12,7,2020,2020-07-12
13965,Facebook,True,559,22,9,2020,2020-09-22
13966,Facebook,False,362,21,6,2020,2020-06-21
13967,Facebook,False,286,14,10,2020,2020-10-14
13968,Facebook,False,240,18,11,2020,2020-11-18
13969,Google Search,True,601,18,1,2020,2020-01-18
13970,Direct,False,254,15,11,2020,2020-11-15
13971,Instagram,True,384,25,8,2020,2020-08-25
13972,Facebook,True,275,23,11,2020,2020-11-23
13973,Direct,False,472,10,4,2020,2020-04-10
13974,Organic,True,286,7,2,2020,2020-02-07
13975,Youtube,True,174,22,1,2020,2020-01-22
13976,Google Search,True,405,15,8,2020,2020-08-15
13977,Youtube,False,225,20,6,2020,2020-06-20
13978,Organic,True,445,2,4,2020,2020-04-02
13979,Google Display,False,594,5,2,2020,2020-02-05
13980,Direct,False,388,9,12,2020,2020-12-09
13981,Direct,True,523,2,2,2020,2020-02-02
13982,Organic,False,630,12,6,2020,2020-06-12
13983,Organic,False,290,17,8,2020,2020-08-17
13984,Youtube,False,257,20,6,2020,2020-06-20
13985,Organic,False,108,23,11,2020,2020-11-23
13986,Direct,False,513,26,6,2020,2020-06-26
13987,Organic,True,572,14,5,2020,2020-05-14
13988,Google Search,True,182,2,9,2020,2020-09-02
13989,Organic,False,212,4,9,2020,2020-09-04
13990,Organic,True,308,15,3,2020,2020-03-15
13991,Organic,False,203,9,12,2020,2020-12-09
13992,Organic,False,28,6,11,2020,2020-11-06
13993,Direct,False,137,14,10,2020,2020-10-14
13994,Google Search,True,356,24,2,2020,2020-02-24
13995,Google Search,False,625,19,3,2020,2020-03-19
13996,Organic,False,489,4,10,2020,2020-10-04
13997,Facebook,True,156,8,2,2020,2020-02-08
13998,Organic,False,482,3,6,2020,2020-06-03
13999,Google Search,True,59,3,12,2020,2020-12-03
14000,Google Search,True,12,15,9,2020,2020-09-15
14001,Google Search,False,5,11,2,2020,2020-02-11
14002,Email Marketing,False,527,6,4,2020,2020-04-06
14003,Instagram,False,82,8,9,2020,2020-09-08
14004,Organic,False,538,25,4,2020,2020-04-25
14005,Facebook,False,670,9,1,2020,2020-01-09
14006,Google Search,False,328,15,12,2020,2020-12-15
14007,Facebook,False,650,2,12,2020,2020-12-02
14008,Instagram,True,325,7,11,2020,2020-11-07
14009,Facebook,False,516,27,6,2020,2020-06-27
14010,Organic,False,340,17,6,2020,2020-06-17
14011,Google Search,False,189,14,1,2020,2020-01-14
14012,Organic,True,178,12,12,2020,2020-12-12
14013,Google Display,True,536,15,10,2020,2020-10-15
14014,Email Marketing,False,356,12,10,2020,2020-10-12
14015,Organic,False,213,8,7,2020,2020-07-08
14016,Organic,False,264,17,12,2020,2020-12-17
14017,Google Search,False,104,26,7,2020,2020-07-26
14018,Email Marketing,True,381,25,12,2020,2020-12-25
14019,Youtube,True,25,5,3,2020,2020-03-05
14020,Instagram,True,484,10,1,2020,2020-01-10
14021,Email Marketing,False,370,4,8,2020,2020-08-04
14022,Facebook,False,142,12,5,2020,2020-05-12
14023,Google Search,False,480,10,10,2020,2020-10-10
14024,Google Display,True,598,6,12,2020,2020-12-06
14025,Organic,True,200,12,4,2020,2020-04-12
14026,Google Search,False,577,5,12,2020,2020-12-05
14027,Google Search,False,597,5,4,2020,2020-04-05
14028,Organic,False,320,24,3,2020,2020-03-24
14029,Google Search,True,695,5,5,2020,2020-05-05
14030,Google Search,True,592,18,10,2020,2020-10-18
14031,Facebook,False,555,28,2,2020,2020-02-28
14032,Email Marketing,False,368,27,5,2020,2020-05-27
14033,Facebook,False,16,17,11,2020,2020-11-17
14034,Direct,False,246,3,8,2020,2020-08-03
14035,Organic,True,370,9,5,2020,2020-05-09
14036,Organic,False,321,3,11,2020,2020-11-03
14037,Google Display,True,214,2,11,2020,2020-11-02
14038,Instagram,True,486,14,3,2020,2020-03-14
14039,Organic,False,209,22,7,2020,2020-07-22
14040,Organic,False,280,25,5,2020,2020-05-25
14041,Organic,False,338,22,2,2020,2020-02-22
14042,Youtube,False,248,25,12,2020,2020-12-25
14043,Organic,True,217,10,6,2020,2020-06-10
14044,Direct,False,379,17,5,2020,2020-05-17
14045,Facebook,False,486,1,5,2020,2020-05-01
14046,Google Search,False,159,19,10,2020,2020-10-19
14047,Google Display,True,294,27,7,2020,2020-07-27
14048,Google Search,True,683,3,11,2020,2020-11-03
14049,Facebook,False,175,5,10,2020,2020-10-05
14050,Google Search,False,18,10,8,2020,2020-08-10
14051,Facebook,True,428,21,6,2020,2020-06-21
14052,Instagram,True,91,21,8,2020,2020-08-21
14053,Facebook,True,617,19,4,2020,2020-04-19
14054,Facebook,True,38,2,1,2020,2020-01-02
14055,Organic,False,453,6,7,2020,2020-07-06
14056,Google Display,True,379,20,3,2020,2020-03-20
14057,Youtube,True,178,6,5,2020,2020-05-06
14058,Google Search,True,436,14,5,2020,2020-05-14
14059,Google Search,False,666,3,3,2020,2020-03-03
14060,Email Marketing,False,178,17,10,2020,2020-10-17
14061,Email Marketing,True,32,26,6,2020,2020-06-26
14062,Organic,False,140,8,9,2020,2020-09-08
14063,Email Marketing,True,126,13,1,2020,2020-01-13
14064,Direct,True,279,20,8,2020,2020-08-20
14065,Facebook,True,349,5,5,2020,2020-05-05
14066,Organic,True,492,2,2,2020,2020-02-02
14067,Organic,True,457,20,10,2020,2020-10-20
14068,Direct,False,105,22,10,2020,2020-10-22
14069,Google Search,False,240,16,10,2020,2020-10-16
14070,Organic,False,63,27,11,2020,2020-11-27
14071,Organic,False,538,24,7,2020,2020-07-24
14072,Instagram,False,106,13,9,2020,2020-09-13
14073,Youtube,False,646,18,2,2020,2020-02-18
14074,Email Marketing,True,621,27,1,2020,2020-01-27
14075,Google Search,False,426,22,7,2020,2020-07-22
14076,Youtube,False,220,22,1,2020,2020-01-22
14077,Organic,False,455,1,2,2020,2020-02-01
14078,Instagram,True,555,5,11,2020,2020-11-05
14079,Organic,False,693,12,4,2020,2020-04-12
14080,Youtube,True,479,25,7,2020,2020-07-25
14081,Direct,True,657,16,10,2020,2020-10-16
14082,Facebook,True,188,2,7,2020,2020-07-02
14083,Google Search,True,623,15,3,2020,2020-03-15
14084,Organic,True,36,19,2,2020,2020-02-19
14085,Organic,True,140,6,8,2020,2020-08-06
14086,Youtube,False,9,25,12,2020,2020-12-25
14087,Facebook,True,205,4,4,2020,2020-04-04
14088,Email Marketing,True,695,4,12,2020,2020-12-04
14089,Organic,False,240,24,8,2020,2020-08-24
14090,Google Display,False,22,17,7,2020,2020-07-17
14091,Youtube,False,367,12,3,2020,2020-03-12
14092,Organic,True,565,4,7,2020,2020-07-04
14093,Youtube,False,636,6,6,2020,2020-06-06
14094,Instagram,False,335,16,5,2020,2020-05-16
14095,Google Search,False,92,5,4,2020,2020-04-05
14096,Direct,False,322,21,9,2020,2020-09-21
14097,Organic,False,447,8,7,2020,2020-07-08
14098,Organic,False,497,7,5,2020,2020-05-07
14099,Organic,True,683,19,2,2020,2020-02-19
14100,Organic,False,508,24,7,2020,2020-07-24
14101,Instagram,False,99,17,5,2020,2020-05-17
14102,Google Search,False,567,3,12,2020,2020-12-03
14103,Google Search,True,464,14,5,2020,2020-05-14
14104,Organic,False,69,15,12,2020,2020-12-15
14105,Facebook,True,138,1,6,2020,2020-06-01
14106,Direct,True,226,7,11,2020,2020-11-07
14107,Google Search,True,99,7,4,2020,2020-04-07
14108,Organic,False,55,4,9,2020,2020-09-04
14109,Organic,False,683,17,2,2020,2020-02-17
14110,Organic,False,61,25,3,2020,2020-03-25
14111,Email Marketing,False,697,10,3,2020,2020-03-10
14112,Organic,True,607,20,8,2020,2020-08-20
14113,Organic,True,170,7,10,2020,2020-10-07
14114,Organic,False,257,24,12,2020,2020-12-24
14115,Google Search,True,452,26,12,2020,2020-12-26
14116,Google Search,True,243,21,7,2020,2020-07-21
14117,Direct,False,540,23,4,2020,2020-04-23
14118,Google Search,False,490,18,3,2020,2020-03-18
14119,Organic,True,531,26,7,2020,2020-07-26
